vote_id,voter_id,station_id,vote_date
1,1,19,2024-04-01
2,5,174,2024-04-01
3,6,32,2024-04-01
4,8,64,2024-04-01
5,9,99,2024-04-01
6,10,24,2024-04-01
7,12,27,2024-04-01
8,15,97,2024-04-01
9,17,78,2024-04-01
10,18,142,2024-04-01
11,19,17,2024-04-01
12,21,24,2024-04-01
13,22,27,2024-04-01
14,23,144,2024-04-01
15,24,88,2024-04-01
16,26,81,2024-04-01
17,27,151,2024-04-01
18,28,116,2024-04-01
19,29,1,2024-04-01
20,30,13,2024-04-01
21,33,129,2024-04-01
22,34,6,2024-04-01
23,35,91,2024-04-01
24,36,81,2024-04-01
25,37,40,2024-04-01
26,37,118,2024-04-01
27,38,154,2024-04-01
28,38,69,2024-04-01
29,39,69,2024-04-01
30,40,116,2024-04-01
31,41,149,2024-04-01
32,42,116,2024-04-01
33,42,1,2024-04-01
34,43,156,2024-04-01
35,44,192,2024-04-01
36,46,162,2024-04-01
37,47,2,2024-04-01
38,49,195,2024-04-01
39,51,180,2024-04-01
40,51,166,2024-04-01
41,52,102,2024-04-01
42,53,10,2024-04-01
43,54,155,2024-04-01
44,54,104,2024-04-01
45,55,25,2024-04-01
46,56,10,2024-04-01
47,57,16,2024-04-01
48,58,134,2024-04-01
49,59,144,2024-04-01
50,60,150,2024-04-01
51,62,133,2024-04-01
52,63,167,2024-04-01
53,64,7,2024-04-01
54,67,193,2024-04-01
55,68,196,2024-04-01
56,70,80,2024-04-01
57,71,10,2024-04-01
58,72,19,2024-04-01
59,73,195,2024-04-01
60,74,10,2024-04-01
61,75,24,2024-04-01
62,76,92,2024-04-01
63,77,115,2024-04-01
64,78,171,2024-04-01
65,79,145,2024-04-01
66,80,88,2024-04-01
67,80,96,2024-04-01
68,82,123,2024-04-01
69,82,199,2024-04-01
70,83,187,2024-04-01
71,84,1,2024-04-01
72,86,178,2024-04-01
73,87,99,2024-04-01
74,88,55,2024-04-01
75,88,185,2024-04-01
76,89,190,2024-04-01
77,90,117,2024-04-01
78,91,56,2024-04-01
79,91,146,2024-04-01
80,93,40,2024-04-01
81,94,186,2024-04-01
82,95,192,2024-04-01
83,95,144,2024-04-01
84,98,170,2024-04-01
85,99,123,2024-04-01
86,100,117,2024-04-01
87,101,21,2024-04-01
88,104,32,2024-04-01
89,106,113,2024-04-01
90,108,144,2024-04-01
91,109,59,2024-04-01
92,111,184,2024-04-01
93,112,7,2024-04-01
94,113,143,2024-04-01
95,114,95,2024-04-01
96,114,193,2024-04-01
97,115,54,2024-04-01
